otu_id,size,kingdom,phylum,class,order,family,genus,species,taxa_labels
OTU_270,1301,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,,Paraglomus_sp
OTU_275,1299,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Cristinia,,Cristinia_sp
OTU_269,1290,Fungi,Mucoromycota,Endogonomycetes,,,,,Endogonomycetes_sp
OTU_247,1267,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,Microdominikia_litorea,Microdominikia_litorea
OTU_222,1265,Fungi,Kickxellomycota,,,,,,Kickxellomycota_sp
OTU_208,1265,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium_opacum,Pleotrichocladium_opacum
OTU_256,1251,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,,Claroideoglomus_sp
OTU_204,1238,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_233,1210,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Orbiliaceae_sp
OTU_245,1207,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_218,1197,Fungi,,,,,,,Fungi_sp
OTU_228,1195,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,,,,Spizellomycetales_sp
OTU_215,1190,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Xylariales_sp
OTU_216,1183,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,,Paraphoma_sp
OTU_220,1183,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,,Acremonium_sp
OTU_284,1181,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_testaceus,Iodophanus_testaceus
OTU_547,1178,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis
OTU_235,1140,Fungi,,,,,,,Fungi_sp
OTU_239,1124,Fungi,Rozellomycota,,,,,,Rozellomycota_sp
OTU_223,1109,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,,Septoglomus_sp
OTU_227,1100,Fungi,,,,,,,Fungi_sp
OTU_229,1098,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
